tourney_date,tourney_name,surface,round,tourney_level,winner_hand,loser_hand,winner_rank,loser_rank,winner_ht,loser_ht,winner_age,loser_age,winner_name,loser_name
20100103,Brisbane,Hard,SF,A,R,R,12.0,13.0,185.0,193.0,31.0,23.0,Radek Stepanek,Gael Monfils
20100103,Brisbane,Hard,F,A,R,R,7.0,12.0,188.0,185.0,27.0,31.0,Andy Roddick,Radek Stepanek
20100103,Brisbane,Hard,SF,A,R,R,7.0,20.0,188.0,196.0,27.0,24.0,Andy Roddick,Tomas Berdych
20100103,Brisbane,Hard,QF,A,R,L,12.0,105.0,185.0,180.0,31.0,24.0,Radek Stepanek,Wayne Odesnik
20100103,Brisbane,Hard,QF,A,R,R,13.0,44.0,193.0,185.0,23.0,30.0,Gael Monfils,James Blake
20100103,Brisbane,Hard,QF,A,R,L,20.0,36.0,196.0,188.0,24.0,22.0,Tomas Berdych,Thomaz Bellucci
20100103,Brisbane,Hard,QF,A,R,R,7.0,52.0,188.0,185.0,27.0,24.0,Andy Roddick,Richard Gasquet
20100103,Brisbane,Hard,R16,A,R,R,12.0,131.0,185.0,180.0,31.0,21.0,Radek Stepanek,Alexandr Dolgopolov
20100103,Brisbane,Hard,R16,A,L,L,105.0,81.0,180.0,185.0,24.0,26.0,Wayne Odesnik,Alejandro Falla
20100103,Brisbane,Hard,R16,A,R,R,13.0,65.0,193.0,180.0,23.0,29.0,Gael Monfils,Florent Serra
20100103,Brisbane,Hard,R16,A,L,R,36.0,119.0,188.0,185.0,22.0,31.0,Thomaz Bellucci,Harel Levy
20100103,Brisbane,Hard,R16,A,R,R,20.0,42.0,196.0,183.0,24.0,25.0,Tomas Berdych,Marcos Baghdatis
20100103,Brisbane,Hard,R16,A,R,R,52.0,285.0,185.0,188.0,24.0,22.0,Richard Gasquet,Matthew Ebden
20100103,Brisbane,Hard,R16,A,R,L,7.0,134.0,188.0,198.0,27.0,23.0,Andy Roddick,Carsten Ball
20100103,Brisbane,Hard,R32,A,R,R,12.0,306.0,185.0,183.0,31.0,21.0,Radek Stepanek,John Millman
20100103,Brisbane,Hard,R32,A,R,R,131.0,286.0,180.0,193.0,21.0,17.0,Alexandr Dolgopolov,Bernard Tomic
20100103,Brisbane,Hard,R16,A,R,R,44.0,58.0,185.0,188.0,30.0,33.0,James Blake,Marc Gicquel
20100103,Brisbane,Hard,R32,A,L,R,81.0,32.0,185.0,188.0,26.0,23.0,Alejandro Falla,Jeremy Chardy
20100103,Brisbane,Hard,R32,A,L,R,105.0,63.0,180.0,173.0,24.0,32.0,Wayne Odesnik,Arnaud Clement
20100103,Brisbane,Hard,R32,A,R,R,7.0,77.0,188.0,183.0,27.0,30.0,Andy Roddick,Peter Luczak
20100103,Brisbane,Hard,R32,A,L,L,134.0,78.0,198.0,190.0,23.0,22.0,Carsten Ball,Mischa Zverev
20100103,Brisbane,Hard,R32,A,R,L,52.0,88.0,185.0,185.0,24.0,28.0,Richard Gasquet,Jarkko Nieminen
20100103,Brisbane,Hard,R32,A,R,L,285.0,28.0,188.0,183.0,22.0,29.0,Matthew Ebden,Jurgen Melzer
20100103,Brisbane,Hard,R32,A,R,R,42.0,55.0,183.0,188.0,25.0,28.0,Marcos Baghdatis,Mardy Fish
20100103,Brisbane,Hard,R32,A,R,R,20.0,251.0,196.0,183.0,24.0,21.0,Tomas Berdych,Nick Lindahl
20100103,Brisbane,Hard,R32,A,L,R,36.0,73.0,188.0,190.0,22.0,30.0,Thomaz Bellucci,Juan Ignacio Chela
20100103,Brisbane,Hard,R32,A,R,R,44.0,25.0,185.0,198.0,30.0,22.0,James Blake,Sam Querrey
20100103,Brisbane,Hard,R32,A,R,R,58.0,80.0,188.0,185.0,33.0,26.0,Marc Gicquel,Philipp Petzschner
20100103,Brisbane,Hard,R32,A,R,R,65.0,173.0,180.0,188.0,29.0,24.0,Florent Serra,Julian Reister
20100103,Brisbane,Hard,R32,A,R,R,13.0,76.0,193.0,188.0,23.0,29.0,Gael Monfils,Taylor Dent
20100103,Brisbane,Hard,R32,A,R,L,119.0,67.0,185.0,190.0,31.0,30.0,Harel Levy,Michael Llodra
20100104,Doha,Hard,R32,A,R,R,101.0,291.0,190.0,,28.0,30.0,Lukasz Kubot,Karim Maamoun
20100104,Doha,Hard,R32,A,R,R,62.0,69.0,188.0,178.0,28.0,25.0,Potito Starace,Frederico Gil
20100104,Doha,Hard,R32,A,R,L,,241.0,193.0,183.0,38.0,26.0,Younes El Aynaoui,Ryler Deheart
20100104,Doha,Hard,R32,A,R,R,122.0,41.0,178.0,188.0,26.0,27.0,Steve Darcis,Guillermo Garcia Lopez
20100104,Doha,Hard,R32,A,R,R,60.0,19.0,193.0,183.0,24.0,28.0,Sergiy Stakhovsky,Mikhail Youzhny
20100104,Doha,Hard,R32,A,R,U,57.0,,168.0,,29.0,19.0,Olivier Rochus,Abdulla Hajji
20100104,Doha,Hard,R32,A,R,R,90.0,31.0,190.0,175.0,21.0,29.0,Ernests Gulbis,Albert Montanes
20100104,Doha,Hard,R32,A,R,R,37.0,54.0,208.0,178.0,31.0,23.0,Ivo Karlovic,Fabio Fognini
20100104,Doha,Hard,R32,A,R,R,40.0,71.0,178.0,180.0,29.0,26.0,Benjamin Becker,Daniel Koellerer
20100104,Doha,Hard,R32,A,R,R,56.0,84.0,185.0,183.0,28.0,28.0,Marco Chiudinelli,Paolo Lorenzi
20100104,Doha,Hard,R32,A,R,R,6.0,132.0,178.0,183.0,29.0,22.0,Nikolay Davydenko,Mikhail Kukushkin
20100104,Doha,Hard,R32,A,R,R,49.0,70.0,190.0,180.0,26.0,32.0,Andreas Seppi,Oscar Hernandez
20100104,Doha,Hard,R32,A,L,R,2.0,93.0,185.0,183.0,24.0,24.0,Rafael Nadal,Simone Bolelli
20100104,Doha,Hard,R32,A,R,R,29.0,72.0,193.0,185.0,24.0,24.0,Viktor Troicki,Daniel Gimeno Traver
20100104,Doha,Hard,R16,A,R,R,1.0,53.0,185.0,185.0,28.0,22.0,Roger Federer,Evgeny Korolev
20100104,Chennai,Hard,QF,A,R,R,14.0,107.0,198.0,188.0,21.0,22.0,Marin Cilic,Santiago Giraldo
20100104,Doha,Hard,R16,A,R,R,6.0,56.0,178.0,185.0,29.0,28.0,Nikolay Davydenko,Marco Chiudinelli
20100104,Doha,Hard,R16,A,R,R,37.0,40.0,208.0,178.0,31.0,29.0,Ivo Karlovic,Benjamin Becker
20100104,Doha,Hard,R16,A,R,R,29.0,57.0,193.0,168.0,24.0,29.0,Viktor Troicki,Olivier Rochus
20100104,Doha,Hard,R16,A,R,R,101.0,60.0,190.0,193.0,28.0,24.0,Lukasz Kubot,Sergiy Stakhovsky
20100104,Doha,Hard,R16,A,R,R,122.0,,178.0,193.0,26.0,38.0,Steve Darcis,Younes El Aynaoui
20100104,Doha,Hard,R16,A,L,R,2.0,62.0,185.0,188.0,24.0,28.0,Rafael Nadal,Potito Starace
20100104,Doha,Hard,QF,A,R,R,1.0,90.0,185.0,190.0,28.0,21.0,Roger Federer,Ernests Gulbis
20100104,Doha,Hard,QF,A,R,R,6.0,37.0,178.0,208.0,29.0,31.0,Nikolay Davydenko,Ivo Karlovic
20100104,Doha,Hard,QF,A,R,R,29.0,101.0,193.0,190.0,24.0,28.0,Viktor Troicki,Lukasz Kubot
20100104,Doha,Hard,QF,A,L,R,2.0,122.0,185.0,178.0,24.0,26.0,Rafael Nadal,Steve Darcis
20100104,Doha,Hard,SF,A,R,R,6.0,1.0,178.0,185.0,29.0,28.0,Nikolay Davydenko,Roger Federer
20100104,Doha,Hard,SF,A,L,R,2.0,29.0,185.0,193.0,24.0,24.0,Rafael Nadal,Viktor Troicki
20100104,Doha,Hard,R32,A,R,R,53.0,99.0,185.0,183.0,22.0,30.0,Evgeny Korolev,Martin Vassallo Arguello
20100104,Doha,Hard,F,A,R,L,6.0,2.0,178.0,185.0,29.0,24.0,Nikolay Davydenko,Rafael Nadal
20100104,Doha,Hard,R16,A,R,R,90.0,49.0,190.0,190.0,21.0,26.0,Ernests Gulbis,Andreas Seppi
20100104,Doha,Hard,R32,A,R,R,1.0,86.0,185.0,170.0,28.0,31.0,Roger Federer,Christophe Rochus
20100104,Chennai,Hard,R16,A,L,R,74.0,108.0,193.0,185.0,30.0,30.0,Michael Berrer,Stephane Robert
20100104,Chennai,Hard,SF,A,R,R,14.0,38.0,198.0,180.0,21.0,26.0,Marin Cilic,Janko Tipsarevic
20100104,Chennai,Hard,R32,A,R,R,100.0,8.0,183.0,193.0,27.0,25.0,Robby Ginepri,Robin Soderling
20100104,Chennai,Hard,R32,A,R,R,82.0,98.0,185.0,180.0,22.0,26.0,Lukas Lacko,Yen Hsun Lu
20100104,Chennai,Hard,R32,A,R,R,117.0,92.0,180.0,196.0,31.0,22.0,Kevin Kim,Daniel Brands
20100104,Chennai,Hard,R32,A,R,R,43.0,102.0,175.0,188.0,25.0,23.0,Dudi Sela,Denis Istomin
20100104,Chennai,Hard,R32,A,R,R,21.0,391.0,183.0,190.0,25.0,30.0,Stan Wawrinka,Rohan Bopanna
20100104,Chennai,Hard,R32,A,R,R,83.0,212.0,173.0,188.0,32.0,26.0,Michael Russell,Prakash Amritraj
20100104,Chennai,Hard,R32,A,R,R,108.0,293.0,185.0,175.0,30.0,25.0,Stephane Robert,Louk Sorensen
20100104,Chennai,Hard,R32,A,L,R,74.0,109.0,193.0,183.0,30.0,30.0,Michael Berrer,Santiago Ventura
20100104,Chennai,Hard,R32,A,R,R,96.0,79.0,193.0,193.0,21.0,26.0,Thiemo De Bakker,Rajeev Ram
20100104,Chennai,Hard,F,A,R,R,14.0,21.0,198.0,183.0,21.0,25.0,Marin Cilic,Stan Wawrinka
20100104,Chennai,Hard,R32,A,R,R,126.0,85.0,180.0,180.0,25.0,34.0,Somdev Devvarman,Rainer Schuettler
20100104,Chennai,Hard,R32,A,R,R,38.0,446.0,180.0,190.0,26.0,33.0,Janko Tipsarevic,Carlos Moya
20100104,Chennai,Hard,R32,A,R,R,103.0,59.0,180.0,185.0,26.0,29.0,Jan Hajek,Simon Greul
20100104,Chennai,Hard,R32,A,R,R,107.0,111.0,188.0,175.0,22.0,30.0,Santiago Giraldo,Bjorn Phau
20100104,Chennai,Hard,R32,A,R,R,447.0,341.0,190.0,178.0,23.0,19.0,Robin Haase,Tsung Hua Yang
20100104,Chennai,Hard,R32,A,R,R,14.0,104.0,198.0,180.0,21.0,28.0,Marin Cilic,Igor Kunitsyn
20100104,Chennai,Hard,SF,A,R,R,21.0,43.0,183.0,175.0,25.0,25.0,Stan Wawrinka,Dudi Sela
20100104,Chennai,Hard,R32,A,R,R,91.0,272.0,190.0,190.0,24.0,23.0,Marcel Granollers,James Ward
20100104,Chennai,Hard,QF,A,R,R,38.0,96.0,180.0,193.0,26.0,21.0,Janko Tipsarevic,Thiemo De Bakker
20100104,Chennai,Hard,QF,A,R,L,21.0,74.0,183.0,193.0,25.0,30.0,Stan Wawrinka,Michael Berrer
20100104,Chennai,Hard,QF,A,R,R,43.0,82.0,175.0,185.0,25.0,22.0,Dudi Sela,Lukas Lacko
20100104,Chennai,Hard,R16,A,R,R,107.0,103.0,188.0,180.0,22.0,26.0,Santiago Giraldo,Jan Hajek
20100104,Chennai,Hard,R16,A,R,R,14.0,91.0,198.0,190.0,21.0,24.0,Marin Cilic,Marcel Granollers
20100104,Chennai,Hard,R16,A,R,R,96.0,447.0,193.0,190.0,21.0,23.0,Thiemo De Bakker,Robin Haase
20100104,Chennai,Hard,R16,A,R,R,21.0,83.0,183.0,173.0,25.0,32.0,Stan Wawrinka,Michael Russell
20100104,Chennai,Hard,R16,A,R,R,43.0,117.0,175.0,180.0,25.0,31.0,Dudi Sela,Kevin Kim
20100104,Chennai,Hard,R16,A,R,R,82.0,100.0,185.0,183.0,22.0,27.0,Lukas Lacko,Robby Ginepri
20100104,Chennai,Hard,R16,A,R,R,38.0,126.0,180.0,180.0,26.0,25.0,Janko Tipsarevic,Somdev Devvarman
20100111,Sydney,Hard,R32,A,R,R,49.0,184.0,190.0,194.0,26.0,24.0,Andreas Seppi,Marinko Matosevic
20100111,Sydney,Hard,R32,A,R,R,78.0,51.0,183.0,190.0,30.0,27.0,Peter Luczak,Jose Acasuso
20100111,Sydney,Hard,R32,A,R,L,55.0,131.0,188.0,198.0,28.0,23.0,Mardy Fish,Carsten Ball
20100111,Sydney,Hard,R32,A,R,R,52.0,25.0,185.0,198.0,22.0,22.0,Evgeny Korolev,Sam Querrey
20100111,Sydney,Hard,R32,A,R,R,42.0,233.0,183.0,183.0,25.0,21.0,Marcos Baghdatis,Nick Lindahl
